Moon x	Moon y	Apollo x	Apollo y	t	vmag	r
381296843.811209	48923923.970857	490436360.728742	283316690.777957	48000.000000	1021.940013	384422727.524135
381283918.288868	49025297.252319	491080971.498436	283689480.385780	48100.000000	1021.939764	384422822.054558
381270966.015158	49126667.094104	491725571.847175	284062264.456495	48200.000000	1021.939514	384422916.780344
381257986.991008	49228033.489101	492370161.803055	284435043.003095	48300.000000	1021.939263	384423011.701484
381244981.217346	49329396.430201	493014741.394049	284807816.038527	48400.000000	1021.939012	384423106.817972
381231948.695106	49430755.910295	493659310.648010	285180583.575688	48500.000000	1021.938761	384423202.129803
381218889.425223	49532111.922274	494303869.592673	285553345.627431	48600.000000	1021.938509	384423297.636968
381205803.408631	49633464.459029	494948418.255653	285926102.206560	48700.000000	1021.938256	384423393.339460
381192690.646270	49734813.513452	495592956.664445	286298853.325833	48800.000000	1021.938003	384423489.237274
381179551.139078	49836159.078435	496237484.846429	286671598.997964	48900.000000	1021.937749	384423585.330401
381166384.887999	49937501.146869	496882002.828868	287044339.235618	49000.000000	1021.937495	384423681.618836
381153191.893976	50038839.711648	497526510.638906	287417074.051416	49100.000000	1021.937240	384423778.102570
381139972.157955	50140174.765664	498171008.303576	287789803.457935	49200.000000	1021.936985	384423874.781598
381126725.680883	50241506.301810	498815495.849792	288162527.467702	49300.000000	1021.936730	384423971.655913
381113452.463711	50342834.312978	499459973.304356	288535246.093205	49400.000000	1021.936473	384424068.725507
381100152.507389	50444158.792063	500104440.693958	288907959.346885	49500.000000	1021.936217	384424165.990373
381086825.812871	50545479.731958	500748898.045172	289280667.241138	49600.000000	1021.935959	384424263.450505
381073472.381113	50646797.125558	501393345.384464	289653369.788317	49700.000000	1021.935702	384424361.105896
381060092.213072	50748110.965755	502037782.738184	290026067.000732	49800.000000	1021.935443	384424458.956539
381046685.309706	50849421.245446	502682210.132576	290398758.890649	49900.000000	1021.935185	384424557.002425
381033251.671977	50950727.957524	503326627.593771	290771445.470289	50000.000000	1021.934925	384424655.243549
381019791.300848	51052031.094884	503971035.147791	291144126.751833	50100.000000	1021.934666	384424753.679904
381006304.197284	51153330.650423	504615432.820551	291516802.747417	50200.000000	1021.934405	384424852.311482
380992790.362252	51254626.617034	505259820.637856	291889473.469135	50300.000000	1021.934144	384424951.138277
380979249.796720	51355918.987616	505904198.625405	292262138.929041	50400.000000	1021.933883	384425050.160280
380965682.501658	51457207.755062	506548566.808789	292634799.139143	50500.000000	1021.933621	384425149.377486
380952088.478041	51558492.912271	507192925.213493	293007454.111412	50600.000000	1021.933359	384425248.789887
