Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
316792352.898098	237151185.020809	368860219.108944	231652862.909494	230000.000000	1147.018542	52356196.624796
316736554.209848	237232806.300546	368923898.592277	231748248.018122	230100.000000	1146.743861	52473575.327410
316680735.149791	237314412.321985	368987542.581473	231843623.818237	230200.000000	1146.469607	52590951.428307
316624895.722175	237396003.080369	369051151.164326	231938990.296211	230300.000000	1146.195777	52708324.930721
316569035.931249	237477578.570943	369114724.428108	232034347.438583	230400.000000	1145.922369	52825695.838085
316513155.781260	237559138.788955	369178262.459573	232129695.232057	230500.000000	1145.649382	52943064.154021
316457255.276461	237640683.729650	369241765.344964	232225033.663502	230600.000000	1145.376814	53060429.882340
316401334.421101	237722213.388279	369305233.170012	232320362.719949	230700.000000	1145.104663	53177793.027037
316345393.219434	237803727.760090	369368666.019945	232415682.388588	230800.000000	1144.832926	53295153.592286
316289431.675711	237885226.840335	369432063.979490	232510992.656766	230900.000000	1144.561602	53412511.582443
316233449.794187	237966710.624267	369495427.132879	232606293.511987	231000.000000	1144.290690	53529867.002037
316177447.579118	238048179.107138	369558755.563851	232701584.941912	231100.000000	1144.020186	53647219.855768
316121425.034757	238129632.284203	369622049.355658	232796866.934350	231200.000000	1143.750090	53764570.148506
316065382.165362	238211070.150719	369685308.591068	232892139.477262	231300.000000	1143.480399	53881917.885287
316009318.975192	238292492.701942	369748533.352369	232987402.558760	231400.000000	1143.211112	53999263.071308
315953235.468504	238373899.933131	369811723.721374	233082656.167102	231500.000000	1142.942226	54116605.711926
315897131.649559	238455291.839545	369874879.779424	233177900.290689	231600.000000	1142.673741	54233945.812657
315841007.522615	238536668.416445	369938001.607392	233273134.918069	231700.000000	1142.405653	54351283.379168
315784863.091935	238618029.659093	370001089.285689	233368360.037931	231800.000000	1142.137962	54468618.417281
315728698.361781	238699375.562752	370064142.894263	233463575.639104	231900.000000	1141.870666	54585950.932963
